A B	AB
建立新型漏斗	つくる新規だ漏斗
建造	つくる	造成	造成する
开	オン
开发	する開発	する開発する	より開発	基づく開発	開発	開発さ	開発する
开发动向	開発動向
开发的	より開発する
开发背景	開発背景
开口	開口	開口部
开口雷达	開口部ライダー
开始	始める	開始	開始さ	開始する
异常	異常だ
异常呼吸	異常だ呼吸
异黄酮	イソフラボン
引入	取り入れる
引出	引き出す
引导	導く
引物	プライマー
引起	もたらす	よって起こる	引く	引く付ける	引き起こす	起きる	起こす	起こる	起す
引起角	よって起こる角	起こる角
张	張
张力	張力
张量	テンソル
弯曲	曲げる
弯曲梁	曲げるビーム
弱	弱い
弱亚热带	弱い亜熱帯
弹性	弾性
弹性界面	弾性界	弾性界面
弹性界面活性	弾性界面活性
弹性表面	弾性表面
弹性表面活性	弾性表面活性
弹性表面活性剂	弾性界面活性剤	弾性表面活性剤
强	強い
强不稳定	強い不安定だ
强不稳定条件	強い不安定だ条件
强冷空气	強い寒気
强凝聚	強い凝集
强力技术	強力だ技術
强力的	強力だ
强化	強化	強化する
强回声	強いエコ
强对流	強い対流
强显示	強い示唆さ
强烈	強い
强烈暗示	強い示唆
强相关	強い関連	強い関連する
强调	強調	強調する
强风	強風
当地	現地
当地产业	地場産業
当局	当局
当选	当てる
形式	形	形式
形态	形態
形成	つくる	形成	形成する
形状	形状
形状特性	形状特性	状特性
形状设计	形状設計
影像	映像
影像雷达	映像レーダー
影像雷达系统	映像レーダーシステム
影响	およぼす	よって影響	よる影響	及ぼす	影響	影響する	関する影響
影响力	影響力
影响因素	影響因子
往往	しばしば
征候	徴候
径分布	径分布
径路	径路
很	よく
得到	よって得る	得る
得到乳清	よって得るホエー	得るホエー
得到乳清蛋白	よって得るホエー蛋白	よって得るホエー蛋白質	得るホエー蛋白	得るホエー蛋白質
循环	サイクル	循環
循环功能	循環機能
循环的	サイクルさ
循环系统	ループシステム
微	微
微乳	ミクロ乳
微乳头	ミクロ乳頭
微分	微分
微分方程	微分方程式
微分热	微分熱
微分热重量	微分熱重量
微分热重量分析	微分熱重量分析
微型	マイクロ
微处理器	マイクロプロセッサ
微小	微小だ
微小孔钛	微小だ細孔チタン
微小孔钛酸	微小だ細孔チタン酸
微小孔钛酸钠	微小だ細孔チタン酸ナトリウム
微小孔隙	微小だ細孔
微弧氧化法	マイクロアーク酸化
微弧电弧	マイクロアーク
微成形	ミクロ成形	ミクロ成形する
微成形对于LDPE	ミクロ成形するLDPE
微成形对于LDPE膜	ミクロ成形するLDPE膜
微机械	マイクロマシン
微机械加工	マイクロマシン加工	マイクロマシン加工さ
微波	マイクロ波
微波促进	マイクロ波促進
微波促进光	マイクロ波促進光
微波促进光分解	マイクロ波促進光分解
微波促进光分解二甲苯酚	マイクロ波促進光分解キシレノール
微波促进光分解二甲酚橙	マイクロ波促進光分解キシレノールオレンジ
微生物	微生物
微观	ミクロ
微观结构	微細だ構造
微观结构变换	微細だ構造変換
微观阵列	ミクロアレイ
微阵列	マイクロアレイ
微阵列分析	マイクロアレイ分析
德国	ドイツ
德国人物	ドイツ人物
德国人物理学	ドイツ人物理学
心理	心理
心理社会	心理社会
心理社会模式	心理社会モデル
心理障碍	心理障害
必要	必要だ	必要だ応じる
必要基础	必要だ基盤
必要基础因子	必要だ基盤因子
必要条件	必要だ条件
必要条件模型	必要だ条件モデル
必须	ないなら	必須だ
快速	迅速だ
快速开发	急速だ開発	急速だ開発する
忽视	無視	無視する
态度	態度
急性	急性
急性缺	急性虚
急性缺血	急性虚血
性	性
性别	性別
性状	形質
性能	する性能	パフォーマンス	性能
性能参数	性能パラメータ
性能实验	性能実験
性能曲线	性能曲線
性能试验	性能試験
性腺	性腺
性腺刺激	性腺刺激
性质	性質
总括	包括
总线	バス
总线系统	バスシステム
总结	つくまとめる	まとめる	まとめるする
总结了	つくまとめるする
总计	合計	総計
恒定速率方程	定常レート方程式
恢复	回復
恶劣	悪い
恶劣方法	悪い方法
患病	患う
患者	おける患者	よる患者	患者	有する患者	症患者
患者满意	おける患者満足	患者満足
患者满意度	おける患者満足度	患者満足度	患者満足感
患者满意度规模	おける患者満足度スケール	患者満足度スケール
患者自我	おける患者自己	患者自己
患者自我调节	おける患者自己調節	患者自己調節
患者自控静脉	おける患者自己調節静脈	患者自己調節静脈
患者自控静脉镇痛	おける患者自己調節静脈鎮痛	患者自己調節静脈鎮痛
悬浮	懸濁
悬浮液	懸濁液
情况	こと	ケース
情绪障碍	機嫌障害
惩治	退治する
想法	アイデア
意义	意味
意外	意外だ
意外伤害	意外だ傷害
意外伤害特别是	意外だ傷害特に
意外伤害特别是交通	意外だ傷害特に交通
意外伤害特别是交通事故	意外だ傷害特に交通事故
感受性	感受性
感应电压	誘導電圧
感应电压波形	誘導電圧波形
感染	感染	感染症
感觉	感	感じる	感覚
慢性	する慢性	慢性
慢性C型	する慢性C型	慢性C型
慢性丙型肝炎	する慢性C型肝炎	慢性C型肝炎
慢性丙型肝炎患者	する慢性C型肝炎患者	慢性C型肝炎患者
慢性乙型	慢性B型
慢性乙型肝炎	慢性B型肝炎
慢性萎缩	慢性萎縮
成人	成人
成像	イメージング
成像功能	イメージング機能
成分	成分
成分摘要	成分摘要
成功地	首尾よく
成功地获得	首尾よく得る
成形	成形	成形する
成形对于LDPE	成形するLDPE
成形对于LDPE膜	成形するLDPE膜
成本	コスト
成本削减	コスト削減
成本削减创新	コスト削減イノベーション
成本削减替代	コスト削減代替
成本削减替代创新	コスト削減代替イノベーション
我们	我々
战略	する戦略	戦略
所	所
所废	所廃
所废水	所廃水
所得	所得
所得税	所得税
所有	すべて	所有
所有代替专利权	代替特許権所有
所有公司	所有する会社	所有会社
所有的	所有する
手	手
手指	フィンガー
手指的	よってフィンガー
手术	手術
手术结束	手術終了
手段	手段
手续	手続き
打印方法	プリント法
打字	タイピング
打字结果	タイピング結果
执行	する実行	実行	実行する
扩增	増幅
扩增多	増幅多
扩增自然	増幅自然
扩增自然释放	増幅自然放出
扩大	拡大	拡大する
扩展有限	拡張有限だ
扩展有限元	拡張有限だ要素
扩展有限元法	拡張有限だ要素法
扩展频谱	拡張するスペクトル
扩张	拡張	拡張する
扩散	拡散
扫描	スキャン	走査
扫描图形	走査グラフ
扫描电子	走査電子
扫描电子显微	走査電子顕微
扫描电子显微镜	走査電子顕微鏡
扮演	演じる
找出	見つける出す	見出す
找到	見つける
承兑人	引き受ける人
承认	容認する
承认渔民	容認する漁民
技术	できる技術	技術
技术度	技術度
抑制	抑制	抑制する	抑圧	抑圧さ
抑制比率	阻害比率
抑制的	抑圧できる
抑制药	阻害薬
投用	投与	投与する
抗原	抗原
抛物柱	インペラー
抛物面	放物面
抛物面聚光	放物面集光
抛物面聚光器	放物面集光器
抛物面集	放物面集
报告	報告	報告さ	報告する
报告书	報告書
抵抗	対する抵抗	抵抗	抵抗する
抵抗外来	抵抗する外来
抵抗外来遗传基因	抵抗する外来遺伝子
抵抗外来遗传基因源	抵抗する外来遺伝子源
抽出	より抽出	抽出する
抽取	抽出
抽取试验	抽出試験
担当	担当
拆解	よって解く
拔出	引き抜く
拔出中心	引き抜くセンター
招致	招く
拟合	フィッティング	フィット
拟合法	フィッティング法
拷贝	コピー
持有	持た	持つ
持有企业	持つ型企業
持有型	持つ型
持有最优	持つ最適だ
持续	持続	続く
持续静脉	わたる静脈
指	指す
指出	指摘	指摘する
指向	ポインティング	指向
指向优点	指向利点
指导	指導	指導する
指数	指数
指数体系	指数体系
指数函数	指数関数
指数函数因子	指数関数因子
指标	指標
指示	指示	指示する
指纹	フィンガープリント
指纹法	フィンガープリント法
指针	指針
挥发	揮発
挥发物	揮発物
振动	振動
捕捉	する捉える	捉える
损伤	損傷	損傷する
损伤张量	損傷テンソル
损伤模式	損傷モード
损伤等级	損傷等級
损伤过程	損傷過程
损伤重	損傷重
损失	損失
排出液	排出液
排列	整列	整列さ	配列	配列決定
排放	排出
探查	探査
探测器	検出器
探讨	検討
接受	受ける	引き受ける
接受子宫	受ける子宮
接受子宫内膜	受ける子宮内膜
接受子宫内膜异位症	受ける子宮内膜症
接口	IF
接合	接合
接种	接種
接触	接触
接触比率	接触比率
接触氧化	接触酸化
接触氧化并用	接触酸化併用
接触氧化并用过程	接触酸化併用プロセス
接触角	接触角
接近	近づく	近接
控制	より制御	より制御さ	コント	コントロール	タクト	制御	制御さ	制御する	制御できる
控制功能	制御機能
控制器	コントローラー
控制器设计	コントローラー設計
控制方式	制御方式
控制法	制御法
控制系统	コントロールシステム	制御する系統	制御システム
控制组	コントロールグループ
推定	推定
推进	進む
掺杂	ドープ
掺杂光纤	ドープファイバ
掺杂光纤放大	ドープファイバ増幅
掺杂光纤放大器	ドープファイバ増幅器
描述	記述	記述さ
提供	供与	提供	提供する
提供许可	ライセンス供与
提供许可证	ライセンス供与する
提倡	提唱
提出	あげる	つく取上げる	出す	取上げる	提唱する	提案	提案さ	提案する
提出复杂	提唱する複雑だ
提出复杂系统	提唱する複雑だ系
提出方法	提案方法
提出法	提案法
提出的方法	提案する方法
提取效率	抽出効率
提取物	エキス	抽出物
提梁	づる
提梁感	感づる
提示	提示	提示する
提高	向上さ	高める
提高效率	効率向上
提高系统	高めるシステム
提高财政	向上する財政
插入	挿入
插座	ぺー
搅拌	撹拌	撹拌する	練る
搔	掻く
搜索	探索	探索する
搜索引擎	検索エンジン
搜索的AC	探索するAC
搜索的AC电力	探索するAC電力
搜索能力	探索能力
搬运	運搬
搬运能力	運搬能力
携带	キャリー	携帯
携带先	キャリー先
携带先块	ブロックキャリー先
携带先读理论	キャリー先読む論理
携带读取	キャリー先読む
摄像	撮像
摘要	摘要
摘除	摘出
摩擦	摩擦
摩擦的	する摩擦
操作	操作	操業
操作仿真	操業シミュレーション
操作员	オペレータ
操作员区域	オペレータ領域
操作员区域方式	オペレータ領域方式
操作结果	操業結果
操作结果预测	操業結果予測
操作群	操作群
支付	払う	支払
支付能力	支払能力
支持	サポート	支持さ
支持观光	支持観光
支持观光发展	支持観光発展
支援	支援
支撑	支持
支配	支配
收敛	収束
收敛区域	収束域
收集	収集	収集さ
改变	一変
改变分析	一変量解析
改善	改善	改善さ	改善する
改善方向	改善方向
改良	改良	改良する
改良既有加工法	既存加工法改良
改良液	改良液
改良液相	改良液相
改装	改装
改进液相还原	改良液相還元
改进液相还原法	改良液相還元法
改革	改革
改革计划	改革計画
攻击	攻撃
攻击性能	攻撃性能
攻击方式	攻撃方式
放大器	増幅器
放射	放射
放置	置く
政府	政府
政府管制	政府規制
政策	政策
政策支持	政策サポート
故障	故障
故障判定	故障判定
故障判定标准	故障判定基準
效应分子	エフェクター分子
效应器	エフェクター
效果	エフェクト	効果	関する効果
效果效率	効果効率
效率	効率	能率
效率系统	効率システム
敌人	敵
敌人手	敵手
敏感性试验	感受性試験
数	数
数值	数値
数值例子	数値例
数值模拟	数値シミュレーション
数值求积法	数値求積法
数列	数列
数字	デジタル
数字指纹	デジタルフィンガー	デジタルフィンガープリント	デジタルフィンガープリント法
数学	数学
数据	データ
数据曲线	データ曲線
数据连接	データ接続
数据连接部分	データ接続部
数据集	データセット
数模型	数モデル
数群最优	スウォーム最適だ
整体	全体
整体构成	全体構成
整体死亡	全体死亡
整合	統合する
整合的	統合するする
整流	整流
整流器	整流器
整流器负荷	整流器負荷
文件	ファイル
文本	テキスト
文本搜索引擎	テキスト検索エンジン
文本检索	テキスト検索
文献	文献
斑	斑
斑块	パッチ
斑块密度	パッチ密度
斑点	スポット
斑病	斑症
斑病患者	斑症患者
断定	断定	断定する
断定正确	断定する正確だ
断定正确方法	断定する正確だ方法
断层	CT
断言	断言	断言する
断面	断面
断面几何	断面幾何
斯威姆	スウォーム
斯托克斯	ストークス
斯托克斯公式	ストークス式
斯里兰卡	スリランカ
新	おける新しい	新規だ
新HCV	新しいHCV
新HCV蛋白酶	新しいHCVプロテアーゼ
新HCV蛋白酶抑制	新しいHCVプロテアーゼ阻害
新HCV蛋白酶抑制药	新しいHCVプロテアーゼ阻害薬
新型功率	新規だパワー
新型功率电子学	新規だパワーエレクトロニクス
新型漏斗	新規だ漏斗
新型电力电子器件	新規だパワーエレクトロニクス素子
新型钢级	新規だ鋼グレード
新技术	新しい技術
新方法	新しい手法	新規だ方法
新模型	ニューモデル
新病害	新しい病害
新的	ニュー	新しい	新規だ
新的不正当	新しい不正だ
新的不正当拷贝	新しい不正だコピー
新的类	新しいクラス
新研究	新規だ研究
新类	おける新しいクラス
新酶	新しい酵素
新钢	新規だ鋼
新鲜	新鮮だ
新鲜莲	新鮮だハス
新鲜莲叶	新鮮だハス葉
方位	方位
方位分解	方位分解
方位分辨率	方位分解能
方向	方向
方式	方式
方案	案
方法	する方法	する手法	基づく方法	手法	方法
方法算法	方法アルゴリズム
方法顺序	法手順
方程式	方程式
施行	施行
旅游开发	観光開発
旋转	回転	回転変だ
旋转变流机	回転変だ流機
旋转流动	ターン流	回転変だ流
旋转部分	部回転変だ
无	無い
无康复运动	無い元気だ動く
无性	無性だ
无性系	無性だ系
无性系茶	無性だ系茶
无机	無機
无机功能	無機機能
无机功能材料	無機機能材料
无机功能材料群	無機機能材料群
无机盐	無機塩
无机盐培养基	無機塩培地
无源光网络	受動光ネットワーク
无精神	無い元気だ
无菌	無菌
无菌试验	無菌試験
既存	既存する
既有	既存
既有加工	既存加工
既有加工法	既存加工法
时效	時効
时空	時空
昆明	昆明
昆虫	昆虫
昆虫抗性	昆虫抵抗
昌平(西燕)	昌平
昌平区	昌平区
昌平区疾病	昌平区疾病
昌平区疾病预防	昌平区疾病予防
昌平区疾病预防控制中心	昌平区疾病予防管理センター
昌平区疾病预防管理	昌平区疾病予防管理
明显	対す明らかだ	明	明らかだ
明显低于	有意だ低い
明显体系	明らかだ体系
明显减少	より減少し
明显变化	明らかだ変化	明白だ変化
明显地下降	有意だ下降
明显局部	明らかだ局所
明显的	明白だ
明显的局部聚类	明らかだ局所クラスター
明显的局部聚类梯度	明らかだ局所クラスター勾配
明显衰减	対す明らかだ減衰	明らかだ減衰
明显衰减效果	対す明らかだ減衰効果	明らかだ減衰効果
明白	分かつ
明确	明示する
明示	明示
明细胞	明細胞
易滑动的	容易だ滑り落ちる
映射	マッピング
映射作业	マッピング作業
映射作业台	マッピング作業台
映射程序	マッピングプログラム
是	みなさ
显微	顕微
显微镜	顕微鏡
显微镜观察	顕微鏡観察
显示	よって示さ	示さ	示す	表示	表示する
显示风景	示す風景
显示风景指标	示す風景指標
显著	おける有意だ	有意だ	顕著だ
显著减少	有意だ減少	有意だ減少する
显著增加	有意だ増加	有意だ増加する
显著差异	おける有意だ差	有意だ差
显著相关	有意だ相関
显著阻碍	有意だ阻害
显著高于	有意だ高い
景色	景色
景色点	景色スポット
景观	景観
景观分析	景観解析
景观分析数据	景観解析データ
景观指标	景観指標
景观数据	景観データ
景观格局	景観パターン
景观格局信息	景観パターン情報
景观格局分析	景観パターン解析
景观格局指标	景観パターン指標
景观生态	景観生態
景观评价	景観評価
景观评价指标	景観評価指標
晶体	結晶
智能	インテリジェンス
暖气	暖気
暖湿流	暖湿流
暗示	示唆	示唆さ	示唆する
暴露	暴露	暴露する
曲	曲
曲线	カーブ	プロフィル	曲線
曲线回归	曲線回帰
更	もっと	より	更に
更准确	より正確だ
更多	より多い	より多量だの
更多关注	より多量だ注目
更多报告	おいる多い報告	おいる多い報告さ
更好	より良い
更实用	もっと実用
更少的	より少ない
更接触	更に接触
更接触比率	更に接触比率
更效率	もっと能率
更新	アップデート
更新文件	アップデートする
更深	より深い
更碱基	より塩基
更简单	より簡単だ
更证明	より確証する
更进展	より進展する
更鉴定	より同定
更长的延伸	より長い延伸する
更非常	より非常だ
替代	代替
替代专利权	代替特許権
替代专利权所有公司	代替特許権所有会社
替代创新	代替イノベーション
替代特许	代替特許
最	おける最適だ	最も
最优	最適だ
最优值	最適だ値
最优值范围	最適だ値範囲
最优制法	最適だ製法
最优线性	最適だ線形
最优解	最適だ解
最优设计	最適だ設計
最佳	最適だの
最佳块	最適だブロック
最佳块分布	最適だブロック分布
最佳纯度	最適だ純度
最佳线性滤波器	最適だ線形フィルタ
最初	最初だ	最初の
最初块	最初だブロック
最初增加	最初だ増加	最初だ増加する
最初抑制	最初だ阻害
最初的例子	最初だ例
最初阻碍	最初だ阻害さ
最初风力	最初だ風力
最初风力发电	最初だ風力発電
最初风力发电站	最初だ風力発電所
最后	最後だ
最后接触	最後だ接触
最后接触比率	最後だ接触比率
最多	最多だ
最多发生	最多だ発生	最多だ発生する
最多发生骨折	最多だ発生する骨折
最大	最も大きい	最大だ
最大SS浓度	最大だSS濃度
最大值	最大だ値
最大分解	最大だ分解
最大分解速度	最大だ分解速度
最大检体	最大だ検体
最大检体量	最大だ検体量
最大浓度	最大だ濃度
最大的	おける最大だの	最大だの
最大的SS	最大だSS
最大的SS浓度	おける最大だSS濃度
最大相关	最大だ相関
最大相关点	最大だ相関点
最大衰减	最大だ減衰
最大衰减效果	最大だ減衰効果
最大要素	最大だ要素
最大量	最も大量だの
最大量风力	最も大量だ風力
最大量风力能源	最も大量だ風力エネルギー
最大集	最大だ集
最大集光度	最大だ集光度
最大集光度角度	最大だ集光度角度
最好	最もよい
最小	最小だ
最小值	最小だ値
最少	最少だ
最少值	最少だ値
最常见	最もよい見る
最稳定	最も安定
最稳定的	最も安定する
最终	最終だ
最膨胀	最も膨張
最膨胀剂	最も膨張剤
最解	おける最適だ解
最远	最も遠い
最重要的	最も重要だ
最重要的影响	及ぼす最も重要だ
最重要的意义	最も重要だ意味
最高	最強だ	最高だ
最高LNG	最強だLNG
最高的	最高の
有	あう	ある	しる	有	有す	有する
有升力	有する揚力
有变压器	有するトランス
有变更	有する変更さ
有意	有意だ
有意下降	有意だ下降する
有意义	有意だ
有意义的	おける有意だ
有效	おいる有効だ	有効だ	有効だ事
有效划分	有効だ分ける
有效对策	有効だ対策
有效所得税	実効所得税
有效攻击	有効だ攻撃
有效率	有効だ率
有效防止	有効だ防止	有効だ防止する
有效阻碍了	有意だ阻害する
有效降低	有意だ低減
有显著下降	有意だ下降する
有显著的降低	おける有意だ低減
有机	有機
有机物质	有機物質
有用	有用だ
有用工具	有用だツール
有益	有益だ
有相似	有する類似
有类似有机	有する類似有機
有能够持久耐久	有する長続きする耐久
有转基因	有するトランスジェニック
有转基因杨树	有するトランスジェニックポプラ
有限	有限だ
有限体积	有限だ体積
有限体积法	有限だ体積法
有限单元法	有限だ要素法
有限差	有限だ差
有限差分	有限だ差分
有限差分公式	有限だ差分式
有限要素	有限だ要素
服从	従う
服从生命	従う生命
服务	サービス
服务地方	サービス地場
服务地方产业	サービス地場産業
服务设备	サービス設備
期刊	ジャーナル
期望生物活性	望ましい生物活性
期权	オプション
木	木
末端	末端
末端标记	末端標識
本稿	本稿
本质	本質
术	術
机会	機会
机关	機関
机制	いうメカニズム	メカニズム	機序
机器	マシン	機器
机器加工	マシン加工	マシン加工さ
机器设计	機設計
机构	機構
机械	機械
机翼偏向	翼偏向
机翼干扰	翼干渉
机车	機関車
机车检修	機関車オーバーホール
机车要素	機関車要素
杀伤	キラー
杀虫	殺虫
杀虫剂	殺虫剤
杀虫剂浓度	殺虫剤濃度
杂交	ハイブリダイゼーション	ハイブリッド形成
杂音	雑音
权	権
权利	権利
权利交易	権利取引
权利应用	権利応用
权所有	権所有
权所有公司	権所有会社
权限	権限
杆菌	クロアカ	ロバクター
杆菌属	クター属	ロバクター属
杆菌属反复基因	ロバクター属反復遺伝子
材料	材料
材料群	材料群
束	束
束流位置	ビーム位置
束流位置监测	ビーム位置モニタ
条件	する条件	条件
条件构建	条件構築
条件模型	条件モデル
来	来る
来源	由来
杨树	ポプラ
杰出	傑出	傑出する
杰出性能	傑出する性能
杰出的	傑出する
板	板
极	極
极角度	極角度
极限接触	限界接触
极限接触比率	限界接触比率
构建	構築	構築する
构建块	構築ブロック
构成	成る	構成	構成さ
构成事	成る事
构成要素	構成要素
构成辅助	構成補助
构成辅助物	構成補助物
构造	造る
果真	果たして
枝	枝
某型	ある型
某硫酸	ある硫酸
某硫酸盐	ある硫酸塩
某说明	ある説明
染色	染色
染色水	染色水
柔性	柔軟だ
柔性冷却	柔軟だ冷却	柔軟だ冷却流
柔性冷却流路	柔軟だ冷却流路
柔性冷却流路控制	柔軟だ冷却流路制御
柔性冷却流路控制方式	柔軟だ冷却流路制御方式
柔性冷却策略	柔軟だ冷却戦略
查明	究明	究明する
柱	カラム
柴油	ディーゼル
柴油机	ディーゼル機関
柴油机车	ディーゼル機関車
柴油机车要素	ディーゼル機関車要素
标准	基準	標準
标准偏差	標準偏	標準偏差
标准法	標準法
标本	標本
标记	標識
标记在HSP	標識HSP
树	樹
树分析	樹分析
树木	樹木
树枝	木枝
树液	樹液
树液流动	樹液流
树脂	樹脂
树脂剂	樹脂剤
株	株
样品	サンプル
样品密度	サンプル密度
样式	様式
样本周期	サンプル周期
核	核
核心	コア	中核
核心处理器	コアプロセッサ
核心技术	中核技術
核生成	核生成だ
核磁共振	NMR
核糖体	リボソーム
核糖体DNA	リボソームDNA
核糖体DNA限制	リボソームDNA制限
核糖体DNA限制分析	リボソームDNA制限分析
核苷酸	ヌクレオチド
核苷酸多	ヌクレオチド多
根	根
根据	よる
根据ICM值	ICM値
桁架	トラス
桥梁	ブリッジ
梯度	勾配
梯形	台形
检体	検体
检体量	検体量
检修	オーバーホール
检修规制	オーバーホール規制
检查	する検査	検査	検査する
检查了	する検査する
检查基因	検査する遺伝子
检波	検波
检测	検出	検出する	検量	用いる検出
检索	検索
检量线	検量線
棋盘	盤
棋盘锦	盤錦
植物	プラント	植物
植被	植生
椎间盘	椎間板
椎间盘扩散	椎間板拡散
概念	概念
概括中国	概して中国
概括各种	概して種々だの
概率	確率
概率过程	確率過程
概率过程理论	確率過程理論
榨出	絞り出す
槽	スロット	トラフ
槽口	ノッチ
槽口位置	ノッチ位置
槽后方	トラフ後方
模块	モジュール
模型	するモデル	モデル
模型对照	モデル対照
模型对照组	モデル対照群
模型特性	モデル特性
模型特性法则	モデル特性法則
模式	パターン	モード	模式
模式信息	パターン情報
模式分析	パターン解析
模式指标	パターン指標
模式种	模式種
模拟	シミュレーションする	シミュレート	シミュレートする	擬似	模擬	模擬する
模拟了发烟	する発煙シミュレーション
模拟体液	擬似体液
模拟的	する模擬	する模擬する
模拟结果	シミュレーション結果
模拟验证	検証する模擬する
模糊	あいまいだ
模糊凹陷	あいまいだノッチ
模糊触点位置	あいまいだノッチ位置
横切地球	横切る地球
横切地球规模	横切る地球規模
横穿	横切る
橙	オレンジ
橡胶	ゴム
橡胶复合	ゴム複合
橡胶复合绝缘	ゴム複合絶縁
橡胶复合绝缘物	ゴム複合絶縁物
次	次
次带线路	ストリップ線路BPM
次系统	BPMシステム
止痒	痒
正	正
正交	直交
正交构成	直交構成
正交构成方程	直交構成方程式
正交构成的	よる直交構成
正交的	よる直交
正位	正所
正噪声比率损失	プラスノイズ比率損失
正常	正常だ
正常单	正常だ単
正常对照	正常だ対照
正常的	正常だの
正文	本文
正相关	正相関
正确	正確だ
正确反映	より正確だ反映	より正確だ反映する	正確だ反映	正確だ反映する
正确声源	正確だ音源
正确声源位置	正確だ音源位置
正确声源定位	正確だ音源位置決める
正确提出	正確だ提案	正確だ提案する
正确方法	正確だ方法
正确最优	正確だ最適だ
正确最优解	正確だ最適だ解
正确的	する正確だ
正确表示	正確だ表す
正确诊断	正確だ診断
正规	正規だ
步行	歩行
歪斜	歪	歪む
歪斜波形	歪む波形
死亡	死亡
残余	残
残存	残存	残存する
残差	残差
残差速度	残差速度
残渣	残渣
残留	残る
母	母
母子	母子
母集团	母集団
母集团评分	母集団評	母集団評点
每	あたる
比	比
比处理	比処理
比处理系统	比処理システム
比法	比法
比率	比率
比率损失	比率損失
比较	よって比較	比較	比較する	比較する事	比較的
比较了	よって比較する
比较模型	比較するモデル
比较范数	比較ノルム
毛	毛
民间	民間
民间领域	民間分野
气体	おけるガス	ガス
气体涡轮叶片	ガスタービンブレード
气体涡轮叶片流动	ガスタービンブレード流
气体涡轮叶片流路	ガスタービンブレード流路
气体涡轮叶片流路内侧	ガスタービンブレード流路内側
气体潴留	ガス貯留
气体翼	ガス翼
气体计	おけるガス計	ガス計
气候	候
气压	気圧
气溶胶	エアロゾル
气象	気象
气象特性	気象特性
气象状况	気象状況
气轮机	ガスタービン
氢	水素
氢氧化物	水酸化
氧化	酸化
氧化峰	酸化ピーク
氧化并用	酸化併用
氧化并用过程	酸化併用プロセス
氧化技术	酸化技術
氧化氢	酸化水素
氧化硫	酸化硫黄
氧化磷	酸化燐
氧化磷灰石	酸化燐灰石
氧化速度	酸化速度
氧化钛	チタニア
氧化铋	酸化ビスマス
氨基酸	アミノ酸
氮气吸附	窒素吸着
氮素	窒素
氯唑西林	クロキサシリン
氯唑西林协同作用	クロキサシリン相乗作用
氯唑西林相乘	クロキサシリン相乗
水	よび水	よる水	水
水位	水位
水体	水体
水反冲洗	水逆だ洗浄
水域	水域
水处理	水処理
水平	レベル	水平だ	水準
水平上升	レベルアップする
水平灵敏度	水平だ感度
水平级联	レベルカスケード
水果	果物
水氧化磷	水酸化燐
水氧化磷灰石	水酸化燐灰石
水流	水流
水流量	水流量
水滴	水滴
水热处理	よる水熱処理	水熱処理
水蒸气	水蒸気
水蒸气雾试验	水蒸気霧試験
水质	水質
水质标准	水質基準
水逆	水逆だ
水逆流	よび水逆流	水逆流
水逆流清洗	よび水逆流洗浄	水逆流洗浄
水逆清洗速度	水逆だ洗浄速度
汁液	汁
求积法	求積法
汇报	つきる報告
汇报了	つきる報告する
汉方	漢方
汗腺	汗腺
汗腺炎	汗腺炎
江苏	江蘇
污染	汚染
污泥	スラッジ
污物	汚物
污物肠	汚物腸
沈阳	瀋陽
沉积	堆積
沉积物	堆積物
沉降	沈降
沉降速度	沈降速度
沙漏	砂時計
沙漏控制	砂時計制御
没有	ない
河南	河南
油	油	SO
油样	油試料
油母页岩	オイルシェール
油母页岩燃烧	オイルシェール燃焼
油母页岩燃烧特性	オイルシェール燃焼特性
油气体储层	油ガス貯留層
油气体潴留	油ガス貯留
油煤气	油ガス
油田	油田
油的	よるSO
治疗	治療	治療する
治疗组	治療群
沿	沿う
沿着损伤	沿う損傷
沿着损伤过程	沿う損傷過程
法	法
法则	法則
法律	法律
法律实施	法律施行
法律领域	法則領域
法改良	法改良
波	波
波促进	波促進
波促进光	波促進光
波促进光分解	波促進光分解
波促进光分解二甲苯酚	波促進光分解キシレノール
波促进光分解二甲酚橙	波促進光分解キシレノールオレンジ
波光纤	波ファイバ
波光纤放大	波ファイバ増幅
波光纤放大器	波ファイバ増幅器
波动	波動
波动场	波動場
波动场传播	波動場伝播
波动场特性	波動場特性
波干扰气溶胶	波干渉エアロゾル
波干涉	波干渉
波应变	波ひずみ
波形	波形
波形扭曲	波形歪
波形歪斜	波形歪む
波结构	波構造
波辐射	波放射
波辐射特性	波放射特性
波镱	波イッテルビウム
波镱掺杂	波イッテルビウムドープ
波镱掺杂光纤	波イッテルビウムドープファイバ
波镱掺杂光纤放大	波イッテルビウムドープファイバ増幅
波镱掺杂光纤放大器	波イッテルビウムドープファイバ増幅器
波长	波長
注入	注入
注射	注射	注射する
注射样品	注射試料
注射组	注射群
泵	ポンプ
泵光纤	ポンプファイバ
泵光纤放大	ポンプファイバ増幅
泵参数	ポンプパラメータ
泵浦光纤放大器	ポンプファイバ増幅器
泵浦功率	ポンプパワー
洗脱液	溶出液
活力	活力
活性	活性
活性剂	活性剤
活性改善	活性改善
活性疫苗	活性ワクチン
活用	活用	活用する
流伤害	流傷害
流体	流体
流体力学	流体力学
流体模型	流体モデル
流体理论	流体理論
流体高炉	流体高炉
流体高炉模型	流体高炉モデル
流出	流出
