 "no comment"	无可奉告
crucial point	关键
crucible	坩	坩埚	埚
crucifiction	十字架刑
cruciform	十字形
crude	粗糙	粗陋
crude and ill-educated	粗鲁不文
crude and irascible	髝髞
crude bamboo mat	篨	籧
crude but simple method ; use whatever method you can	因陋就简
crude oil	原油
crude saltpetre	硭
cruel	凶戾	凶狠	心毒	惨毒	残忍	残酷	毒辣	虣
cruel and unfeeling	残酷无情
cruelty	残毒	酷刑
cruise	巡弋
cruise missile	巡航导弹
cruiser	巡洋舰
crumb from the table of one master	唾余
crumble fate	颓运
crumble fence and dilapidate wall	残垣断壁	颓垣断壁
crunch	卷腹
crupper	鞧
crusader	十字军
crush	破败不堪
crush garlic	蒜茸
crush grain	籸
crush or break rock, stone etc	碎石
crushproof	压不碎
crust	硬壳	硬皮	结壳	面包皮
crust-mantle	壳幔
crustacean	甲壳动物	甲壳类
crustal movement	地壳运动
crutch	拐子	拐杖	双拐
cry of a crane or wild goose	唳
cry of complaint fill the road ; complaint rise all around	怨天载道	怨声载道
cry of grief shake the heaven	哭声震天
cry of hen pheasant	鷕
cry piteously for food	嗷嗷待哺
cry sound of child	呱
cry tear of joy	喜极而泣
crybaby	爱哭鬼
cryolite	冰晶石
cryophorus	冰凝器
cryptic epitope	隐位
cryptocurrency	加密货币
cryptography	密码学
cryptorchidism	隐睾
cryptozoology	隐栖动物学
crystal	晶	晶体	水晶	水玉
crystal ball	水晶球
crystal lattice	晶格
crystal structure	晶体结构
crystal sugar	冰糖
crystal system	晶系
crystalline	晶状	结晶状
crystalline wave	波涛粼粼
crystallography	结晶学
crêpe	可丽饼
cub	幼兽
cube	三次幂	三次方	方块	立方	立方体
cube root	开三次方
cubic centimetre	立方厘米	西西
cubic curve	三次曲线
cubic equation	三次方程
cubic meter	立方米
cubic meter m^3	立方公尺
cubic root	立方根
cubical system	等轴晶系
cuboid	四角柱体	长方体
cuckold	绿帽子
cuckoo	子规	巂	布谷	布谷鸟	杜宇	杜鹃	杜鹃鸟	鹃
cucumber	胡瓜	青瓜	黄瓜
cue	球竿
cue ball	主球	母球
cuff	袖口	褾
cuff link	袖扣
cuisine	烹饪法
cuju, ancient Chinese football	蹴鞠
culinary delicacy	美食
culmination	中天
culottes	裙裤	裤裙
culpable drive cause serious damage or injury	交通肇事罪
culprit	主犯	真凶
cultivable	可耕地
cultivate	家培
cultivate field	畲
cultivate land	熟地
cultivation industry	养殖业
cultural and recreational activity	文康活动
cultural barrier	文化障碍
cultural exchange	文化交流
cultural fever	文化热
cultural heritage	文化遗产
cultural history	文化史
cultural movement aspire to study and emulate classic works, at different period of history, esp. Tang and Song	古文运动
cultural palace	文化宫
cultural recreation	文娱
cultural relic	文物
cultural tradition	文化传统
culture	文化
culture and education	文教
culture and refine ; gentle and cultivate	温文尔雅
culture fluid	培养液
culture level	文化层
culture medium	培养基
culture of honor contractual obligation	契约精神
culture shock	文化冲击
culvert	涵洞
culvert pipe	涵管
cumbersome	榔槺	滴里嘟噜	雍重
cumin	孜然	孜然芹	枯茗	欧莳萝	茴香籽
cumulative	积累性
cumulative dose	累积剂量
cumulative poison	积累毒性
cumulative total	累加总数
cumulative weakness	积弱
cumulonimbus	积雨云
cumulus	积云
cun	市寸
cuneiform	楔形	楔形文字
cunnilingus	舔阴
cunning	姣	孅	机巧	毚	老奸巨猾
cunning or sly person	白鼻子
cunt	屄
cup	杯	杯子	罩杯
cup and dish in complete disorder ; aft a riotous drink party	杯盘狼藉
cup cake	牛油戟
cup glass	拔罐
cup technique use in TCM	拔罐子
cupboard	柜	柜子	橱柜	碗柜
cupidity	利欲	利欲心
curb	路缘	路边	道牙	马路牙子
curdle milk or fruit juice	酪
curfew	禁夜
curie	居里
curio	古董	琦
curious	有好奇心
curious coincidence	无巧不成书
curium	锔
curled-leaf parsley	皱叶欧芹
currency	货币	通货
currency devaluation	货币贬值
currency exchange	货币兑换
currency exchange rate	兑换率
currency issue by Nationalist Government in 1948	金元券	金圆券
currency system	币制
currency unit	元
current	本届	现时	当今	当前
current account	往来帐户	活期帐户
current address	居住地
current asset	流动资产
current custom	风尚
current favourite	新宠
current liability	流动负债
current political situation	时局
current politics	时政
current price	时价
current situation	时势	现状
current state	现实情况
current state of a country	国情
current trend	时事
currently exist	现有
currently in short supply	暂缺
currently popular	当红
curriculum vita	履历片	履历表	简历
curry	加哩	咖哩	咖喱
curry powder	咖喱粉
curse	诅
curse it!	见鬼
cursor	光标	游标
curtain	帐幔	帷	帏	幔	幔子	窗帷	窗幔	帘子
curtain at front of carriage	幰
curtain carriage use by woman	軿
curtain in carriage	幨
curtain of night	夜幕
curtain of pearl	珠箔
curtain or screen	幕
curtain wall	幕墙
curtsy	屈膝礼
curvature	曲率
curvature vector	曲率向量
curve	弧形	弯弯曲曲	曲线
curve blade	卷刃
curve fit	曲线拟合
curve pool	湾潭
curve space	弯曲空间
curve surface	曲面
curve wood grave	剞
cushion	坐垫	垫子
cushion shoe	减震鞋	避震鞋
cushy job	美差
custard apple	番荔枝
custard bun	奶黄包
custard powder	吉士粉
custard tart	葡挞	蛋挞
custodian	保管员
custody	抚养权	监护权
custody and reeducation	收容教育
custom	俗	向例	客	海关	习俗	自定义	买主
custom area of a store	店堂
custom border	关境	关税国境
custom change with time ; other times, other manner	俗随时变	时代不同,风尚不同
custom clearance	清关
custom duty	关税
custom house	税关
custom inspection	验关
custom levy	关征
custom of place a variety of article	抓周
custom officer	海关官员
custom premise equipment	用户端设备
custom section	海关部门
custom service	客户服务	客服
custom service division	客户服务部
custom union	关税同盟
custom-designed cake	造型蛋糕
custom-made	定制	订制
customary	习惯性
customary law	习惯法
customization	客制化
cut	刿	斸	角质
cut across	刎
cut and bruise all over ; fig. totally refute	体无完肤
cut and bruise like fish scale	鳞伤
cut and polish	切磋琢磨
cut down and merge	裁并
cut edge or point of a knife, sword or tool	刀锋
cut grass and pull out root ; fig. to destroy root and branch	剪草除根
cut into	剪成
cut meat into piece	胾
cut off	掐断	斮
cut off the ear as punishment	刵
cut off the flesh as punishment	剐
cut off the foot	兀
cut off the left ear of the slay	聝	馘
cut off the nose	劓
cut one stomach to hide a pearl	剖腹藏珠
cut open and clean	刲
cut sleeve  be in bed with his lover Dong Xian, and have to attend a court audience that morning. Not wish to awaken Dong Xian, who be sleep with his head rest on the emperor long robe sleeve, Aidi use a knife to cut off the low half of his sleeve.	断袖之癖
cut the throat	刭
cut tool	刀具
cutaneous anthrax	透皮炭疽
cutaway diagram	剖解图
cute	Q	卡哇伊	逗人喜爱
cuticle of bamboo plant	篛
cutie	小可爱
cutleaf ground-cherry	苦蘵
cutlet	肉条
cutter	切刀
cutting-edge	新锐
cuttlebone	海螵蛸
cuttlefish	墨鱼	乌贼	鱿	鲗
cyan	氰基	青色
cyanate	氰酸盐
cyanic acid HCN	氰酸
cyanide	山埃	氰化物
cyanobacteria	氰基细菌	蓝藻
cyanobenzyl bromide	氰溴甲苯
cyanogen 2	氰
cyanogen bromide	溴化氰
cyanogen chloride CNCl	氯化氰
cyanogenetic glucoside	氰苷
cyanosis	发绀
cyberporn	网际色情
cyberport	数码港
cyberspace	网络空间	电子空间
cybersquatting	域名抢注
cyclamen	仙客来
cycle	周波
cycle BMX	小轮车
cycle of 76 year	蔀
cycle race	自行车赛
cycle stadium	自行车馆
cycle time	周速
cyclic hydrocarbon	环烃
cycloalkane	环烷烃
cycloid	摆线
cyclone	气旋
cyclopentene C5H8	环戊烯
cyclostome	圆口纲脊椎动物
cyclotron	回旋加速器
cylinder	圆柱体	柱体	气缸	汽缸
cylindrical	圆柱形
cymbal	钹
cymbidium	兰花
cynic	犬儒
cynicism	犬儒主义
cypress	丝柏
cypress tree	柏树
cyrtophyllus sp.	蠜
cyst	囊肿
cysteine , an amino acid	半胱氨酸
cystic fibrosis	纤维囊泡症
cystitis	膀胱炎
cytochrome	细胞色素
cytokine	细胞因子
cytology	细胞学
cytomegalovirus	巨细胞病毒
cytoplasm	细胞质	胞浆
cytosine nucleotide	胞嘧啶
cytoskeleton	细胞骨架
cytotoxicity	细胞毒性
cytotoxin	细胞毒
da!	咑
dabbler	半吊子	半瓶醋
dace	雅罗鱼
dachshund	短腿猎犬
dacron	的确良
dad	宝爸	爹	阿爹
dad and mom	爸妈
daddy	把拔	爹地	爹爹
daffodil	喇叭水仙	水仙花
dagger	匕	匕首	尖刀	短剑
dahlia	大丽花	天竺牡丹
daily	按天	按日	日刊	日常	每日
daily change of temperature	冷暖
daily expense	日用
daily interest on a loan	拆息
daily low limit on the price of a stock	跌停板
daily newspaper	日报
daily renewal, monthly change	日新月异
daily schedule	作息时间	作息时间表	日程表
daily upper limit on the price of a stock	涨停板
daily wage	日薪
dainty	娇美	高雅
dainty and delicate	小巧玲珑
dainty and delicate girl	小女人
daiquirí	德贵丽类
dairy	奶站	酪农业
dairy cattle	乳牛
dairy farm	奶牛场	奶农
dairy product	乳制品	奶品	奶制品
daisy	雏菊
daisy chain	雏菊花环
dam	埭	堤坝	堨	坝	大坝	水坝
dam burst	决堤	溃坝
dam lake	堰塞湖
dam up water with rock	砩
damage	伤耗	害处
damage beyond repair	破坏无遗
damage by groundless slander	劈空扳害
damage by moth or worm	虫蛀
damage by slander	攀害
damage egg so it do not hatch	殈
damage storm	风灾
damage to good during ship	海损
damask	绫
damask silk	伞
dame	贵妇人
damn it!	奶奶的	肏蛋
damn thing	鸟事
damp	受潮	洳	浥	溽	潮湿	湿漉漉	阻尼
damp heat	湿温
damp proof	防潮
damselfly	蜻蛉
damson	大马士革李
dan, female role in Chinese opera	旦角
dance	舞会	舞蹈
dance drama	舞剧
dance floor	舞池
dance hall	舞场	舞厅
dance music	舞曲
dance partner	舞伴
dance skill	舞技
dance step	舞步
dancer	舞者	舞蹈家
dancer posture and movement	舞姿
dandelion	蒲公英
dandruff	头皮屑
dandy	纨裤子弟
dang	危	危险	险
dang lurk on every side	危机四伏
dang spot	绝地
danger spring up all around ; surround by peril	险象环生
dangerous	凶险	殆	阽	陧	险恶
dangerous and difficult	险阻
dangerous ball	险球
dangerous house	危楼
dangerous road	危途	畏途
dangerous sea-cliff	磡
dangerous situation	危境
dangle	繠
dangle ornament wear by woman	步摇
dango	团子
dare	胆大	胆大妄为
dare not go one step beyond the prescribe limit	不敢越雷池一步
dare to act and courageous enough to take responsibility for it	好汉做事好汉当	敢做敢当
dare vanguard	急先锋
dark	冥	幽冥	惨淡	暗	暗淡	暝	暪	深色	浅黑	窔	阴沉沉	黑暗	黝黑	黧	黪
dark adaptation	暗适应
dark and forbid	黑森森
dark and gloomy	晦暗
dark and moist	阴湿
dark and quiet	杳
dark and swarthy	黑不溜秋
dark and uninhabited ; remote and desert	杳无人烟
dark blue	深蓝	乌蓝	碧蓝	苍
dark brown	棕黑	深棕色	茶色	茶褐色
dark brown horse	驖
dark brown sugar	红糖
dark circle	黑眼圈
dark cloud	昙	阴云
dark green	墨绿	深绿	碧绿
dark grey	深灰色	綥	綦
dark horse	黑马
dark nebula	暗星云
dark or deep green	墨绿色
dark red	惨红	殷	殷红	红殷殷	绯
dark red colour	綪
dark reddish purple	绛紫	酱紫
dark road	黑道
dark sky and black earth	昏天黑地
dark soy sauce	老抽
dark spot or blotch on the skin	黑斑
dark tea, a variety of ferment tea	黑茶
dark-line spectrum	暗线光谱
darkness come before dawn	黎明前的黑暗
darkness fell	夜幕低垂
darkroom	暗室
darling	宝宝	心肝	亲们
darmstadtium	鐽
darn	织补
dart	飞镖
daruan or bass lute, like pipa 琵琶 and zhongruan 中阮 but big and low range	大阮
dash	愣劲儿	破折号
dash of wave	湱
dashboard	仪表盘
data	数据
data bus	数据总线
data communication	数据通信
data compression	数据压缩
data delivery service	资料传送服务
data interface	数据介面	数据接口	资料介面
data link	数据链路
data link connection identifier	数据链路连接标识
data link lay	数据链路层	资料链结层
data mine	数据挖掘
data network	数据网络
data process	数据处理
data segment	数据段
data stream	数据流
data transmission	数据传输	资料传输
data warehouse	资料仓储
data-direct	直接数据
database	数据库	资料库
database software	数据库软件
dataset	数据组
date	日期	枣子	海枣
date and time of a person birth	年庚
date in liquor	酒枣	醉枣
date of birth	出生日期
date of birth and death	生卒年	生卒年月
date of issue	签发日期
date of use	保质期
date stamp	日戳
dative case	与格
daub	搠
daughter	女儿
daughter cell	子细胞
daughter daughter	外孙女
daughter husband	女婿
daughter of a male cousin via female line	表侄女
daughter son	外孙
daughter-in-law	儿媳	儿媳妇	媳	媳妇
dauntless	奋勇
dawdle	拖磨	顸	颟
dawn	倝	傍亮	天亮	天明	旦	旭	旴	昉	昕	晞	晓	曙光	沬	蒙蒙亮	黎明
day	天	日子
day aft day	日复一日	连日
day and month slip away	日月蹉跎
day and night	不分昼夜	卜昼卜夜	日夜	昼夜	没日没夜
day before yesterday	前日
day by day	日益
day care	半托
day care for the elderly	白托
day labor	散工
day labourer	临时工
day lily , use in Chinese medicine and cuisine	金针菜
day of commemoration	纪念日
day off	厂礼拜
day shift	日班	白班	白班儿
day that be name but not number	空日
day-by-day	逐日
day-to-day account	流水账
daybreak	拂晓	昒	曙	破晓	黎明时分
daydream	白日梦	空想
daylight save time	夏令时	夏时制	日光节约时
daylily	忘忧草
daytime	日里	日间	昼	白天	白日	白昼
daytime show	日场
daze	失魂落魄	昏乱
dazzle	光彩夺目	光耀	炫耀	煜煜	璀璨夺目	眩	眴	缭乱
dazzle sunlight	阳炎
dazzle with paper and gold ; fig. indulge in a life of luxury	纸醉金迷	金迷纸醉
dead atmosphere	死气沉沉
dead body	尸体
dead bomb	臭弹
dead bullet	臭子儿
dead but show no sign of rigour mortis	死而不僵
dead but will not close the eye ; to die with a remain grievance	死不冥目	死不瞑目
dead drunk	烂醉	酩酊大醉
dead end	死胡同	死路
dead language	死文字
dead leaf	枯叶	落叶
dead letter	虚文
dead loan	倒帐
dead person	死人
dead piece	死棋
dead tree	枯木
dead weight	载重量
dead weight ton	重量吨
dead zone	死区
deadline	最后期限
deadlock	死锁
deadly	致死	致死性
deadly nightshade	野颠茄	颠茄
deaf	耳聋	聋	聋聩
deaf and dumb	聋哑
deaf person	聋子
deal	交易员	交易者	业者	经销商	自营商
deal incentive	返利
deal sincerely and fairly ; frank and open-minded	开诚布公
deal with red tape	文书处理
dealership	承销店
dealings	往来
dear	亲爱
dear one	亲亲
dear reader	看倌	看官
death	圆寂
death by hang	吊死	缳首
death can wipe out the crime ; dreadful crime that rankle even aft the perpetrator be dead	死有余辜
death of a prince	薨
death of an emperor	登遐
death of kingbolt or emperor	驾崩
death penalty	死刑
death sentence	大辟
death wish	求死愿望
deathbed struggle	垂死挣扎
deathly ill	危笃
deathly pale	惨白
deathly stillness	死寂
deathly white	煞白
debasement	庸俗化
debate	辩论
debility	体弱
debit balance	借方差额
debit card	借记卡	储蓄卡	提款卡
debt	债	债务	债款
debt as heavy as a mountain on a turtle back	鳌背负山
debt instrument	债务证书
debt nurture more debt	以债养债
debt of blood	血债	血账
debt of blood cry out for retribution	血债累累
debt of gratitude	人情债
debt of gratitude couple with duty to avenge	恩仇
debt security	债务证券
debt-ridden	赤字累累
debtor	借债人	债务人	债户	负翁
debuff	减益
debug and commission	联调联试
decadent	颓废	颓废派	颓放
decadent or obscene music	靡靡之音
decaffeinate	无咖啡因	脱咖啡因
decagon	十角形	十边形
decagram	兙	公钱	十克
decaliter	公斗
decameter	公丈	粀
decathlon	十项全能
decay	腐	衰朽	颓朽
decay chain	衰变链
decay curve	衰变曲线
decay heat	衰变热
decay tooth	龋
decease father	先公	先父
decease grandfather	先祖
decease mother	亡母	先妣	先慈	妣
decease paternal grandmother	先大母
decease wife	丧妻
deceit	诳语
deceitful	巧诈	机诈	谲
deceitful in many way ; wily and mischievous	诡计多端
deceitful trick	玄虚
deceive by a pretence of reason	欺以其方
deceiver	欺诈者
decency	风化
decent	正经
decibel	分贝
deciduous plant	落叶植物
deciduous tooth	乳牙	乳齿	暂牙
deciduous tree	落叶乔木
decigram	兝	分克
decimal	十进	十进制
decimal calculation	十进算术
decimal point	小数点
decimal system	十进位	十进位法
decimetre	公寸	分米
decision tree	决策树
decisive	勇决	夬	决定性
decisive battle	会战	决战
deciwatt	分瓦	瓧	瓰
deck	甲板
deck chair	躺椅
deck of play card	纸叶子
declaration	宣言
declaration form	申报单
declarative sentence	陈述句
decline	跌幅	颓势
decline  with thank	璧谢
decline in fortune	衰运
decline to comment	不置可否
decoction	汤剂
decoder	解码器	译码器
decomposition	分解作用
decompression	解压
decompression schedule	减压时间表	减压程序
decompression sickness	减压病	减压症
decompression table	减压表
decontaminant	洗消剂
decontaminate field	洗消场
decontamination	洗消	消除毒剂	除沾染
decorate archway	牌楼
decorate carriage	华毂
decorate hat or helmet in Chinese opera to characterize role	盔头
decorate knob protrude from seal, allow it to be string on a cord	印纽	印钮	印鼻
decorate pleasure boat	画舫
decoration	饰	饰物
decorative bow of ribbon or fabric	花结
decorative design	花纹
decorative item	摆设儿
decorative mass plant of flower and shrubs, often bound by a low masonry border, and often part of a streetscape	花坛
decorative mirror	镜花
decorative motif	纹饰
decorum	体统
decoy	囮
decree	判令	功令	旨意	法令
decree by fate	命中注定
decrepit	颓然	龙钟
decrepit house	危房
dedicate network	专用网路
deed	事迹	地契	契据	房契
deep	冞	深	深厚	深沉	深深	深邃	渊远	湛	窈	覃	邃	邃密
deep and broad	奫
deep and detail investigation	极深研几
deep and profound	沉邃
deep and profound mean	渊诣
deep and sombre	杳杳
deep and still	渊渊
deep and unmeasurable ; unfathomable depth	深不可测
deep and wide	深广
deep at night	更深
deep at night and all be quiet	更深人静
deep basket	篓
deep bay	澳
deep black	元青	玄青	黯
deep cleanse	深层清洁
deep earthquake	深源地震
deep emotion	深情
deep friendship	深情厚谊
deep fry tripe	爆肚
deep gratitude up to death	结草
deep grief	苦难深重
deep growl thunder	沉雷
deep in debt	负债累累
deep in one heart	内心深处
deep in the mountain	深山
deep lay	深层
deep learn	深度学习
deep level	深层次
deep natural pond	深潭	潭子
deep night	更阑
deep or shallow	深浅
deep plan and distant thought	深谋远虑
deep plow	深耕
deep plow and careful cultivation	深耕细作
deep pool	渊	潭
deep red	深红色	赪
deep root and influential	积厚流广
deep root and vigorous foliage	根深叶茂
deep sea	深海
deep space	深空
deep spring	渊泉
deep suffer can lead to enlightenment	殷忧启圣
deep valley	幽谷	深谷	渊壑	渊谷
deep water	潭水
deep water and scorch fire	水深火热
deep, close and refuse ; obstinate	深闭固拒
deep-fry cake	炸油饼
deep-fry doughcake	油饼
deep-fry fish	炸鱼
deep-fry noodle cake	馓子
deep-rooted	根深蒂固
deep-rooted lovesickness	刻骨相思
deep-sea vent	深海烟囱
deeply	在深处	沉沉
deeply accumulate filth	积垢
deeply affect	感天动地
deeply attach	一往情深
deeply feel	深切
deeply feel but not mawkish	哀而不伤
deeply grateful	感恩戴德
deeply immerse	沉湎
deeply ingrain	习以成性
deeply oblige	无任感激
deeply worry ; to feel anxious	牵肠挂肚
deeply worry and sick at heart	忧心忡忡
deer	鹿
default	缺省
defeat	挠败	溃散
defeat enemy	残敌
defeat remnant	残部
defeat troop	溃兵
defeatism	失败主义
defect	不足的地方	缺陷
defective	不完美	缺损	骞
defective good	残品	残次品
defective sentence	病句
defence	防御
defence against flood	抗涝
defence against natural disaster	抗灾
defence against poison	防毒
defence budget	国防预算
defence industry	国防工业
defendant	被告	被告人
defender	守卫者	守军	辩护人	辩护士	防守者
defensive	防御性
defensive art	防御术
defensive fort over border post	关城
defensive gate	防门
defensive line or perimeter	防线
defensive platform over gate	阇
defensive position	守势
defensive structure	工事
defensive tower	敌台
defensive weapon	防卫武器
defer death sentence	死刑缓期执行	死缓
deference	敬服
deference be no substitute for obedience	恭敬不如从命
deferential	恭敬	恭顺
deficiency	缺	缺失	亏
deficiency of kidney essence due to sexual excess	房劳
deficiency of yin 陰|阴[yin1] in TCM	阴虚
deficiency of 氣|气[qi4]	气虚
deficient	欠	亏负
deficit	亏损
defile	阨	隘路
defile with blood	蔑
definite	确切	确定	确凿
definite article	定冠词
definite idea	准谱儿
definitely	切
definition	定义	清晰度	界定
deflagrate spoon	燃烧匙
deflate	瘪	瘪陷
deflation	通货紧缩
deflection	偏转
defoliant	落叶剂
deform child	畸形儿
deformation	形变	变形
deformity	残废	畸形	畸态
defragmentation	碎片整理
deft	灵巧
degenerate custom	颓风
degenerative	退行性
degree	份儿	程度
degree Fahrenheit	华氏度
degree centigrade	摄氏度
degree of credibleness	可信度
degree of disparity	等差
degree of earthquake	震级
degree of reduction	降幅
degree of seriousness of an illness	病势
degree of stability	稳定度
degree of support	支持度
dehumanization	非人化
dehumidifier	除湿器
dehydrogenase	脱氢酶
dehydrogenation	脱氢
deism, theological theory of God who do not interfere in the Universe	理神论	自然神论
deity	大神	神	神明	灵异
deject	懊丧	颓丧
dejectedly	懑然
delay	迟滞
delay action	延发
delay lesion	迟发性损伤
delay neutron	缓发中子
delay tactic	拖延战术	缓兵之计
delegation	代表团	代表队	参访团
deleveraging	非杠杆化
deli	熟食店
deliberate	磋	蓄意
deliberate violation ; intentional crime	明知故犯
deliberately	存心	专意	故意
deliberately mystify	故弄玄虚
deliberately provocative	讨俏
deliberation	审议	熟思
delicacy	珍馐	美馔	馐
delicacy and fine taste ; a wonderful treat	珍馐美味	珍馐美馔
delicate	袅	娇弱	娇气	孱弱	秀气	精致	精美	细致	纤巧	纤柔
delicate and pretty	清秀
delicate as a flower, refine as a precious jade	如花似玉
delicate fragrance	幽香
delicate hand	纤手
delicious	美味	美味可口	香喷喷	鲜美
delicious cake	香饽饽
delight	忭	乐趣	欣幸	欢天喜地	痛快
delight to	心甘情愿
delight to oblige	甜心
delightful	怡人
delimiter	定界符
deliquescent	潮解性
delirium	精神狂乱	谵妄
delivery	交割	寄递
delivery address	配送地址
delivery box	收存箱
delivery mechanism of a medicine	剂型
delivery room	产房
delivery service	传送服务
delivery service, primarily C2C and B2C	宅配
delivery time	交货期
delta	三角洲	得尔塔
delta Ursae Majoris in the Big Dipper	天权
deltoid muscle	三角肌
deluge	洪水
delusion	幻想
delusional disorder	妄想症
deluxe model	豪华型
demand	苛求
demand and strict	从难从严
demand deposit	活期存款
demand loan	活期贷款
demarcation	定界
demean	失身分
dement	颠狂
dementia	失智症	痴呆症
demo record	试听带
democracy	德谟克拉西	民主	民主主义	民主政治	民权主义
democrat	民主主义者
democratic centralism	民主集中制
democratic revolution	民主革命
democratically elect	民选
demodulation	解调
demography	人口学
demolition	清拆
demolition of home	清拆户
demon	凶煞	凶神	凶身	妖魔	恶煞	恶魔	煞神	鬼魅	魅
demon and ghost	妖魔鬼怪	魔怪
demon and god at work ; unexplained event cry out for a supernatural explanation	鬼使神差
demon and monster	魑魅魍魉
demon in Buddhism	罗刹
demon personify pestilence	瘟神
demonic	天魔	邪
demonstrative pronoun	指示代词
demonstrator	示威者
demoralize talk	丧气话
demotion	削职
demotion to common	削职为民
demure	假正经
demurrage	延误费
demurrage charge	滞期费
dendrite	树枝状晶	树突
dendritic cell	树状细胞	树突状细胞
dene	教长
dene of student office	训导处
dengue fever	典型登革热	登革热
dengue haemorrhagic fever	出血性登革热
dengue vaccine	登革疫苗
dengue virus	登革病毒
denim	牛仔布
denomination	派别	面额
denominator of a fraction	分母
denote a sound or sharp noise	叭
denote by	记为
dense	密致	森森	氤氲	深密	浓厚	浓重	稠	稠密	穊	缜匝	茂密	蒙茏	郁
dense and sticky substance	油子
dense fog	迷雾
dense foliage	葆
dense vegetation	簌
dense wood	榛薮
denseness of cloud	霮
denseness of grass-foliage	茷
density	密度
density gauge	密度计
density wave	密度波
dent	凹痕	齾
dental bacterial plaque	牙菌斑
dental bridge	牙桥
dental consonant	齿音
dental enamel	牙釉质
dental floss	牙粉	牙线
dental plaque	牙垢	牙班
dental transition	齿更
dentine	牙本质
dentist	牙科医生	牙医
dentistry	牙科
denuclearization	非核化
denudation	裸地化
deodorant	除臭剂	香体剂
deoxidation	脱氧
deoxyribonucleic acid	去氧核糖核酸	脱氧脱糖核酸
deoxyribonucleoside monophosphate	脱氧核苷酸
deoxyribose	脱氧核糖
depart spirit	亡灵
department	科室	科系	部门
department head	处长
department of chemistry	化学系
department of electronics	电子学系
department of foreign language	外文系
department of gynaecology and obstetrics	妇产科
department of transport	交通管理局
department store	百货公司	百货商店	百货大楼	货商场
departure	发车
departure date	行期
departure gate	登机口
departure lounge	出港大厅	离港大厅
depend on the situation	看情况
dependable	稳妥
dependence	依属
dependency	属地
dependent	非独立
dependent variable	因变量
depilatory medicine	脱毛剂
deplete uranium	贫铀
depletion of the spleen	脾虚
deposit	定银	押金	淀积	淀积物
deposit accumulate over long period	积淀
deposit-reserve ratio	存款准备金率
depositor	存户
depository receipt	预托证券
depository share	存托凭证
depot	仓库	补给站
deprave life	邪径	邪道
depreciation	折旧
depress	凹	废然	闷闷不乐	忧闷	愤懑	抑郁	消沉	神伤	苦闷	郁郁寡欢
depress and frustrate	郁卒
depression	坳陷	洼	洼地
deprivation	困苦
depth	水深	深度	浅深	纵深
depth charge	深水炸弹
depth indicator or gauge	深度尺
depth of field	景深
deputy	丞	佐贰	簉
deputy chair of board	副院长
deputy chief	次长
deputy director	副主任	副理	副经理
deputy general	偏将	副将
deputy governor	副州长
deputy leader	二把手
deputy mayor	副市长
deputy prime minister	副相
deputy secretary	副书记
deputy to People's Congress	人民代表
derailment	出轨	脱线
derange	丧心病狂	疯疯癫癫	癫狂
deregulation	放松管制
derivation	推导
derivation of a Chinese loanword from Japanese by use the same character	形译
derivative	导数	次生	衍生工具
derivative product	衍生产品
derivative word	派生词
derive function	导函数
dermatitis	皮炎
dermatology	皮肤科
dermatosis	皮肤病
dermis	真皮	真皮层
dermo-muscular sac	皮肤肌肉囊
derogatory sense	贬义
derogatory term	贬称	贬词	鄙称
descend colon	降结肠
descend from an old family	故家子弟
descend order	降序
descendant	儿孙	后裔	昆	晜	胤	裔	裔胄
descendant of feudal aristocrat	贵胄
descriptive geometry	画法几何
desert	冷冷清清	冷清清	大漠	沙漠	漠	空空荡荡	鸟不生蛋
desert mountain	荒山
desertification	沙漠化	荒漠化
deserve	值得敬佩
desiccant	干燥剂
design	图案	心术
design norm	设计规范
design process	设计程序
designate	候任
designation	指称
designer	设计师	设计者
desire	欲	欲望	欲念	愿望
desire for good food	口腹之欲
desire for knowledge	求知欲
desire for the public good	公心
desire to commit murder	杀机
desire to exist	生愿
desk	书桌	台	台子
desk clock	座钟	台钟
desk lamp	桌灯	台灯
desk-mate	同桌
desktop	桌上型	桌面
desktop computer	台式电脑	桌上型电脑	桌机	台式机
desktop system	桌面系统
desolate	冷落	凄哀	柳啼花怨	凄凉	荒	荒僻	荒凉	苍凉	萧然
desolate and cold	荒寒
desolate and poor	荒瘠
desolate and uninhabited	荒无人烟
desolate area outside a town	荒郊
desperado	不逞之徒
desperate get-away	血路
desperate strait	绝望的境地
desperately serious	不得了
despicable	贱格
despicable and filthy	卑污
despite	尽管
despot	豪强
dessert	甜品	甜食	甜点
dessert wine	餐末甜酒
dessicated coconut	椰蓉
destination	目的地
destination address	目标地址	终点地址
destine to meet but not fate to be together	有缘无分
destiny will make enemy meet	不是冤家不聚头
destitute	窘匮	穷困	穷愁	颠沛
destitute and homeless ; displace and without mean	流离颠沛
destitute and homeless ; force from one home and wander about	流离失所
destitute and trouble	穷愁潦倒
destitute but honest	清苦
destroy	圮	隳
destroyer	驱逐舰
destruction	破坏	覆灭
destructive	有害	毁来性	毁灭性	破坏性
destructive power	杀伤力
detach palace	离宫
detachment	支队
detachment left to provide cover fire	火场留守分队
detail	备细	细节	绵密	纤悉	详	详备	详密	详情	详细
detail account	叙明
detail and nothing left out ; meticulous and comprehensive	纤悉无遗
detail and reliable	详实
detail edition	繁本
detail list	清册	细目
detail of a case	案情
